2020-12-18 17:33:44 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 17:33:45 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-18 17:34:32 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 17:34:32 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 17:34:36 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-18 19:30:34 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 19:30:34 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 19:30:38 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-18 19:44:52 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 19:44:52 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 19:44:56 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-18 19:46:05 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 19:46:05 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 19:46:09 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-20 18:50:55 INFO  ExampleTest:27 - Creating Example page Object
2020-12-20 18:50:55 INFO  ExampleTest:29 - Click Sign In With Google
2020-12-20 18:50:59 INFO  ExampleTest:31 - Assert that the page is fully loaded
2021-01-06 12:41:14 INFO  ExampleTest:27 - Creating Example page Object
2021-01-06 12:41:14 INFO  ExampleTest:29 - Click Sign In With Google
2021-01-06 12:41:18 INFO  ExampleTest:31 - Assert that the page is fully loaded
2021-01-06 12:54:10 INFO  ExampleTest:27 - Creating Example page Object
2021-01-06 12:54:10 INFO  ExampleTest:29 - Click Sign In With Google
2021-01-06 12:54:11 INFO  ExampleTest:31 - Assert that the page is fully loaded
2021-01-06 12:58:47 INFO  ExampleTest:27 - Creating Example page Object
2021-01-06 12:58:47 INFO  ExampleTest:29 - Click Sign In With Google
2021-01-06 12:58:49 INFO  ExampleTest:31 - Assert that the page is fully loaded
2021-01-06 12:59:50 INFO  ExampleTest:27 - Creating Example page Object
2021-01-06 12:59:50 INFO  ExampleTest:29 - Click Sign In With Google
2021-01-06 12:59:53 INFO  ExampleTest:31 - Assert that the page is fully loaded
